Var Name,Standard Name,WYT,Sac Index Val,NumDays,Start Date 1,End Date 1,Val1,Start Date 2,End Date 2,Val2,Start Date 3,End Date 3,Val3,Start Date 4,End Date 4,Val4,Start Date 5,End Date 5,Val5,Start Date 6,End Date 6,Val6
RSAN007,MI Antioch,W ,1,208,NA,NA,250,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
RSAN007,MI Antioch,AN,2,208,NA,NA,250,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
RSAN007,MI Antioch,BN,3,208,NA,NA,250,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
RSAN007,MI Antioch,D,4,208,NA,NA,250,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
RSAN007,MI Antioch,C,5,208,NA,NA,250,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
